word, frequency
the,9
and,9
i,8
in,4
as,4
a,3
one,3
that,3
not,2
two,2
roads,2
diverged,2
wood,2
could,2
both,2
be,2
to,2
it,2
took,2
for,2
had,2
verse,2
way,2
ages,2
robert,1
frost,1
road,1
taken,1
yellow,1
sorry,1
travel,1
traveler,1
long,1
stood,1
looked,1
down,1
far,1
where,1
bent,1
undergrowth,1
then,1
other,1
just,1
fair,1
having,1
perhaps,1
better,1
claim,1
because,1
was,1
